Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
DRX,2,0,2,33.9,23,32,0.72,0.81,-1.09,-0.083,39.1,-39.1,-363,0.5,0,0,,0.25,,0,0,0,0,0.25,0.478,0.48,3.22,1.07,1.57
Hanwha Life Esports,2,2,0,33.9,32,23,1.39,0.81,1.09,0.083,60.9,39.1,363,0.5,1,1,,0.75,,1,1,1,1,0.75,0.522,0.52,4.01,1.32,1.68
T1,3,1,2,28.5,42,48,0.88,1.05,-0.3,-0.011,45.9,-12.6,-71,0.33,0.67,0.33,,0.33,,0.33,0.18,,0.33,0.33,0.522,0.484,3.01,1.17,1.29
DN Freecs,3,1,2,37.1,40,38,1.05,0.7,0.97,0.017,64.2,-30.8,1969,0.67,0.67,0.67,,0.8,,0,0.47,0,0.33,0.4,0.489,0.528,3.91,1.51,2.16
Gen.G,3,2,1,37.1,38,40,0.95,0.7,-0.97,-0.017,35.8,30.8,-1969,0.33,0.33,0.33,,0.2,,1,0.53,1,0.67,0.6,0.511,0.472,4.28,1.69,2.03
Liiv SANDBOX,2,0,2,27.6,8,32,0.25,0.73,-2.76,-0.147,11.1,-11.1,-3510,0.5,0,0,,0,,0,0,,0,0,0.504,0.409,3.47,1.49,1.63
Nongshim RedForce,2,2,0,27.6,32,8,4,0.73,2.76,0.147,88.9,11.1,3510,0.5,1,1,,1,,1,1,,1,1,0.496,0.591,4.17,1.13,2
BRION,2,2,0,34.7,34,8,4.25,0.61,1.58,0.098,80.8,19.2,2631,1,0.5,1,,0.75,,1,1,1,1,1,0.504,0.53,4.2,1.58,2.7
DRX,3,2,1,36.9,41,34,1.21,0.68,0.07,0.086,66,0.6,1220,0.67,0.67,0.67,,0.33,,1,0.63,1,0.67,0.5,0.51,0.54,3.58,1.38,1.75
KT Rolster,3,1,2,36.9,34,41,0.83,0.68,-0.07,-0.086,34,-0.6,-1220,0.33,0.33,0.33,,0.67,,0,0.38,0,0.33,0.5,0.49,0.46,3.76,1.38,1.69
T1,2,0,2,34.7,8,34,0.24,0.61,-1.58,-0.098,19.2,-19.2,-2631,0,0.5,0,,0.25,,0,0,0,0,0,0.496,0.47,4.35,1.14,2.01
DRX,3,1,2,29.6,29,50,0.58,0.89,-1.03,-0.1,31.5,1.8,-1777,0.67,0.33,0.67,,0.33,,0.33,0.25,,0.33,0.33,0.48,0.499,3.93,1.25,1.53
Hanwha Life Esports,3,2,1,29.6,50,29,1.72,0.89,1.03,0.1,68.5,-1.8,1777,0.33,0.67,0.33,,0.67,,0.67,0.75,,0.67,0.67,0.52,0.501,3.7,1.44,2.03
KT Rolster,2,2,0,32.7,34,12,2.83,0.7,2.41,0.101,65.1,34.9,1692,0.5,0.5,0.5,,0.25,,0,0.3,,1,1,0.507,0.604,4.67,1.62,1.74
Liiv SANDBOX,2,0,2,32.7,12,34,0.35,0.7,-2.41,-0.101,34.9,-34.9,-1692,0.5,0.5,0.5,,0.75,,1,0.7,,0,0,0.493,0.396,4.19,1.82,2.06
Gen.G,2,0,2,34.5,17,30,0.57,0.68,-0.57,-0.007,42.2,-42.2,-743,0.5,0,0,,0.25,,1,0.5,,1,1,0.499,0.503,3.98,1.54,1.77
Hanwha Life Esports,2,2,0,31.2,32,17,1.88,0.79,1.75,0.108,56.3,43.7,783,0.5,1,1,,0.5,,0.5,0.6,,1,1,0.493,0.566,4.05,1.47,1.76
Liiv SANDBOX,2,2,0,34.5,30,17,1.76,0.68,0.57,0.007,57.8,42.2,743,0.5,1,1,,0.75,,0,0.5,,0,0,0.501,0.497,3.59,1.54,1.96
Nongshim RedForce,2,0,2,31.2,17,32,0.53,0.79,-1.75,-0.108,43.7,-43.7,-783,0.5,0,0,,0.5,,0.5,0.4,,0,0,0.507,0.434,3.48,1.38,1.86
